Chainage(km),IRI Average (m/km)
0.313,
0.32,
0.33,1.82
0.34,1.1
0.35,0.85
0.36,1.44
0.37,0.99
0.38,0.95
0.39,0.96
0.4,1.29
0.41,2.14
0.42,0.94
0.43,1.44
0.44,0.98
0.45,1.77
0.46,1.94
0.47,1.17
0.48,0.92
0.49,0.84
0.5,1.21
0.51,1.53
0.52,0.86
0.53,0.93
0.54,1.58
0.55,0.73
0.56,
0.57,
0.58,
0.59,
0.6,
0.61,1.54
0.62,1.34
0.63,1.35
0.64,1.59
0.65,1.44
0.66,1.44
0.67,1.15
0.68,0.82
0.69,0.82
0.7,0.9
0.71,2.96
0.72,1.5
0.73,1.02
0.74,1.43
0.75,0.96
0.76,1.11
0.77,1.31
0.78,0.77
0.79,0.94
0.8,1.53
0.81,1.86
0.82,1.73
0.83,0.69
0.84,0.95
0.85,0.81
0.86,2.17
0.87,1.4
0.88,1.53
0.89,1.54
0.9,1.19
0.91,1.2
0.92,0.9
0.93,1.35
0.94,1.69
0.95,0.82
0.96,1.26
0.97,1.06
0.98,1.45
1,1.34
1.01,1.18
1.02,0.84
1.03,0.97
1.04,0.73
1.05,1.35
1.06,1.46
1.07,0.58
1.08,0.57
1.09,0.92
1.1,1.37
1.11,1.14
1.12,1.6
1.13,0.62
1.14,1.44
1.15,1.35
1.16,1.48
1.17,0.95
1.18,1.77
1.19,1.82
1.2,1.76
1.21,1.32
1.22,1.07
1.23,1.86
1.24,0.83
1.25,1.65
1.26,1.81
1.27,1.25
1.28,1.47
1.29,1.09
1.3,1.11
1.31,0.75
1.32,0.91
1.33,1.51
1.34,1.32
1.35,1.36
1.36,0.83
1.37,1.17
1.38,1.08
1.39,1.48
1.4,1.5
1.41,1.31
1.42,0.63
1.43,1.11
1.44,1.3
1.45,1.21
1.46,1.24
1.47,1.25
1.48,1.35
1.49,1.36
1.5,0.75
1.51,1.48
1.52,1.71
1.53,1.7
1.54,0.83
1.55,1.43
1.56,1.72
1.57,1.56
1.58,1.13
1.59,0.79
1.6,1.59
1.61,1.91
1.62,1.39
1.63,1.58
